timestamp,ax,ay,az,gx,gy,gz
4280,13192,2764,-26360,31547,13175,-26996
4302,15120,2544,-20600,32767,9010,-20495
4324,16836,1116,-14580,32767,11552,-14174
4346,15796,-368,-10032,32767,17612,-7716
4367,12280,160,-5648,32767,25665,-1800
4389,8852,268,1068,32767,25632,3729
4407,10156,-2384,7080,32498,13337,9246
4434,11692,-4688,10672,28510,14746,14577
4456,7948,-5860,18520,24743,31643,20706
4479,1648,-7848,28084,10784,23558,26000
4500,-660,-5896,29808,-5109,10259,30118
4522,-5680,-1604,26872,-16725,14031,32437
4544,-13892,2912,21524,-27442,10833,32685
4566,-20000,7736,12180,-32768,2301,31336
4588,-27004,10728,5544,-32768,-1798,28512
4608,-32032,12200,-432,-32768,2346,23373
4630,-32768,10364,-4088,-32768,4213,15796
4653,-32768,12572,-9264,-32768,46,8136
4675,-32768,14024,-13216,-32768,-5944,890
4699,-32768,12772,-18304,-32768,-9357,-5325
4719,-31620,12508,-23948,-32768,-10576,-10273
4742,-29880,11908,-28604,-32613,-10725,-14466
4757,-27472,11016,-31368,-26986,-8928,-19062
4786,-23948,9368,-32768,-19151,-1409,-23675
4808,-19732,7700,-32768,-10232,5962,-27623
4831,-15840,6200,-32768,-1022,8806,-30425
4852,-10240,5188,-32768,7762,9745,-31894
4874,-4860,4448,-32768,17391,15500,-32378
4896,292,4384,-28744,25658,20080,-31288
4919,5824,3808,-24672,31036,19613,-28291
4940,11020,3376,-18608,32767,22478,-23568
4963,14872,1456,-11692,32767,24214,-16523
4984,14248,-1464,-4496,32767,26083,-8707
5004,12960,-3848,-912,32767,30192,-1627
5022,11180,-5076,3728,32767,32767,5342
5051,9916,-5856,11656,29774,32767,12866
5071,8192,-8132,19664,19170,29982,20613
5092,6828,-6364,22832,7310,22350,27613
5116,1008,-2416,24348,-4300,18056,32767
5137,-6960,1116,23404,-16520,7234,32767
5160,-13692,4928,19524,-25336,3021,32767
5182,-21600,9252,15280,-30952,7672,32767
5204,-30288,12984,10732,-32768,7591,31414
5226,-32768,16332,6188,-32768,3479,24554
5248,-32768,19784,236,-32768,2457,15969
5270,-32768,24300,-7344,-32768,-1080,5763
5292,-32768,24364,-15892,-32768,-7382,-3557
5314,-32768,25036,-27388,-32768,-13979,-9759
5336,-32764,21776,-32768,-32768,-10596,-14447
5358,-32128,17648,-32768,-31698,-1350,-20269
5380,-28832,13848,-32768,-17857,8073,-27292
5402,-20652,9700,-32768,-3715,15555,-32686
5424,-10600,7264,-32768,10444,21296,-32768
5447,-3740,7312,-32768,23821,24402,-32768
5468,-924,8928,-32768,32188,18170,-32262
5490,3752,9840,-28036,32767,6105,-29464
5509,9784,7680,-22448,32767,5638,-25547
5535,11640,8228,-17552,32767,16912,-20305
5556,10148,8476,-7916,32767,29129,-14476
5577,10392,5584,2548,32767,24459,-7199
5599,12892,-104,11388,32767,8151,-518
5621,15120,-5036,17568,32767,17072,5897
5637,10500,-6228,28856,27771,32767,14431
5665,5312,-7296,32767,9759,26484,21774
5687,3164,-3924,32767,-8043,12195,28311
5710,-5456,1876,26572,-18872,12411,32474
5732,-15728,6408,19532,-25738,8344,32660
5754,-20900,8652,16672,-30657,10114,29838
5776,-28760,9768,12712,-32768,16724,25325
5798,-32768,13128,2928,-32768,4406,19279
5820,-32768,14768,-4692,-32768,3624,13076
5841,-32768,17868,-9948,-32768,8759,5328
5863,-32768,19204,-19028,-32768,-8832,-1966
5886,-32768,18936,-28372,-32768,-22075,-7098
5908,-32768,17884,-32768,-32768,-18122,-12429
5930,-32768,16304,-32768,-32335,-6560,-20027
5952,-28984,14384,-32768,-18799,6817,-28278
5975,-18688,11840,-32768,-5770,19088,-32768
5996,-10816,9476,-32768,5574,24196,-32768
6018,-3228,6788,-32768,14906,20413,-32768
6040,4176,7204,-32768,23553,16643,-32768
6062,12268,6036,-29748,31196,19996,-29889
6084,18976,3004,-20576,32767,27487,-22627
6107,20672,828,-14604,32767,32767,-12984
6125,17260,768,-8588,32767,32767,-3535
6150,13492,500,-4352,32767,32767,4176
6172,13092,-1296,1184,31977,28048,11261
6194,13524,-2580,3732,27149,27011,17847
6216,8680,-1812,6568,24107,32767,24059
6237,1100,-1684,14484,13532,27089,29619
6259,-680,-568,20016,475,4531,32767
6281,-9692,56,20644,-8285,5480,32767
6303,-22012,2888,19056,-15270,10257,32767
6327,-31324,5684,18880,-23047,9295,30400
6341,-32768,8032,15860,-32768,4014,22842
6370,-32768,10800,8628,-32768,1108,14523
6392,-32768,13880,-996,-32768,-3898,6217
6414,-32768,14568,-7228,-32768,-5686,-556
6435,-32768,16244,-15968,-32768,-14416,-5996
6458,-32768,17168,-26904,-32768,-17540,-11241
6480,-32768,17512,-32768,-32768,-21968,-16402
6502,-30264,15556,-32768,-32768,-17813,-21324
6524,-24816,12200,-32768,-21255,437,-27185
6546,-17264,7780,-32768,-2695,19125,-32497
6568,-10028,6088,-32768,13802,30804,-32768
6586,-1652,5036,-32768,24046,28752,-32768
6609,4468,6072,-30408,28260,16755,-32103
6634,8260,5496,-25068,30142,5756,-27554
6655,11596,3732,-19252,31510,693,-22835
6674,14768,1504,-13008,32767,7756,-17595
6697,12632,-116,-8160,32767,18955,-12253
6718,8340,420,-5048,32767,28169,-7316
6744,5436,-160,928,32767,26329,-2966
6765,7720,-3000,6560,29552,12510,955
6787,11540,-7580,10528,24322,8940,6010
6809,9876,-9848,17140,21241,22938,12384
6827,7184,-10828,24864,12420,24413,18477
6853,6620,-8352,26928,497,17642,24818
6876,1400,-6432,25988,-9801,16285,29822
6898,-6772,-3032,20092,-21017,6934,32767
6920,-12500,2220,12624,-27256,-735,32767
6941,-19128,4796,8572,-30430,-363,32767
6962,-28380,8444,3480,-32202,3009,32655
6985,-32768,9740,1616,-32768,5877,26769
7007,-32768,9568,8,-32768,11740,18971
7029,-32768,12524,-2080,-32768,7595,9604
7046,-32768,15660,-8428,-32768,-7361,1510
7074,-32768,18396,-15652,-32768,-15741,-3886
7096,-30912,19188,-23220,-32768,-15329,-7549
7118,-29644,19180,-32624,-32768,-16086,-10531
7140,-29684,17324,-32768,-32768,-13129,-14324
7163,-28344,12112,-32768,-20993,293,-20397
7185,-22672,8424,-32768,-4894,15110,-26868
7206,-14216,7120,-32768,9194,24443,-30636
7227,-7248,5956,-32768,19326,26370,-31222
7250,-788,5752,-29320,24844,20505,-29511
7272,4400,5996,-25096,28448,13925,-25856
7292,8480,5072,-21196,31860,12880,-21255
7316,10204,4032,-15644,32767,17871,-15787
7336,7780,2724,-10396,32767,23991,-10629
7359,5816,2956,-6040,32767,28182,-6277
7381,5540,1588,424,32767,21955,-2242
7403,9188,-1400,4156,31577,11641,1857
7418,12596,-3932,7848,30015,19239,7483
7448,11188,-6280,14344,26905,29242,15700
7469,6744,-8136,22956,18474,29788,25123
7491,-2424,-7896,32672,1893,10953,32767
7514,-10580,-3416,32532,-14336,-3231,32767
7536,-20592,2620,26128,-22762,5213,32767
7558,-29896,10964,19916,-29044,16521,32767
7581,-32768,16568,14532,-32768,9405,28044
7602,-32768,18920,8032,-32768,2842,17707
7624,-32768,20156,1352,-32768,-4499,6924
7646,-32768,22376,-9440,-32768,-6302,-1543
7668,-32020,22448,-19776,-32768,-5359,-7515
7690,-29560,19608,-30428,-32768,-2631,-11511
7713,-29592,18124,-32768,-32768,-4244,-15527
7735,-27996,13228,-32768,-26323,-572,-20688
7756,-22696,10264,-32768,-14515,8436,-26259
7777,-14644,7100,-32768,-3204,15405,-30092
7799,-7096,4864,-32768,6411,15982,-30936
7822,-348,3332,-32768,16130,18079,-29909
7842,4036,3496,-32768,25655,21215,-26974
7866,6108,3836,-27972,31710,18126,-22911
7888,9108,4112,-20984,32767,14583,-18236
7911,9872,2040,-17780,32767,15610,-13343
7929,9824,3440,-13808,32767,21716,-8625
7953,9896,2544,-6880,32767,21914,-3313
7975,11548,1620,68,32767,21847,2642
7998,13332,-1692,5912,32767,19221,9730
8020,11012,-4752,11572,28364,21555,17375
8041,7856,-3136,18556,20808,19858,24683
8057,4160,-3392,26880,8119,4816,31604
8086,380,-612,30296,-3911,-1233,32767
8108,-10928,4808,27800,-12930,3188,32767
8130,-21400,9768,23752,-20493,-3718,32767
8152,-29900,12528,20796,-25841,-2997,32767
8174,-32768,12936,17288,-30082,5304,30851
8196,-32768,13072,13928,-32768,5328,21190
8216,-32768,16348,8780,-32768,5050,11537
8238,-32768,19464,1224,-32768,-5547,2646
8262,-32768,20676,-7996,-32768,-6629,-3844
8284,-31412,21708,-14448,-32768,-5913,-8367
8306,-28808,20460,-19824,-32768,-4714,-11501
8326,-26596,19360,-27968,-32768,3089,-14886
8350,-25784,16868,-32768,-32310,9604,-19523
8372,-22060,11732,-32768,-20126,12875,-24322
8392,-14772,6744,-32768,-4383,19441,-27467
