timestamp,ax,ay,az,gx,gy,gz
5087,-4644,1012,15700,159,1342,130
5118,-4580,936,15732,195,1343,116
5139,-4600,1036,15788,176,1333,135
5153,-4680,1016,15752,234,1364,119
5183,-4708,980,15648,252,1316,130
5203,-4572,1004,15624,206,1365,131
5226,-4676,1016,15772,197,1316,82
5248,-4632,964,15704,200,1335,130
5271,-4592,992,15644,200,1315,116
5293,-4652,984,15816,192,1350,119
5316,-4644,952,15652,199,1345,133
5335,-4684,1000,15732,160,1329,126
5360,-4692,1048,15784,207,1330,143
5382,-4652,980,15572,173,1347,149
5404,-4644,1028,15820,183,1320,107
5426,-4616,984,15716,204,1326,112
5448,-4616,984,15696,192,1365,118
5469,-4696,1032,15704,190,1313,153
5491,-4684,1024,15656,175,1341,108
5513,-4632,988,15660,179,1359,99
5536,-4644,1092,15680,179,1344,149
5557,-4624,952,15708,211,1345,121
5575,-4664,1004,15680,187,1337,141
5597,-4580,1032,15744,193,1337,129
5624,-4700,988,15740,181,1333,121
5646,-4580,1000,15720,229,1325,111
5663,-4596,960,15716,201,1330,116
5688,-4580,940,15560,196,1313,94
5712,-4636,988,15776,186,1322,124
5733,-4596,988,15744,181,1335,146
5756,-4700,972,15696,194,1299,142
5777,-4632,1008,15752,193,1314,138
5796,-4728,968,15672,160,1342,127
5822,-4608,988,15612,172,1379,137
5836,-4648,1012,15840,191,1338,150
5866,-4628,1008,15756,176,1318,121
5888,-4636,984,15692,153,1316,156
5909,-4600,1000,15704,242,1360,156
5932,-4600,996,15708,213,1330,159
5954,-4612,1064,15672,150,1319,132
5975,-4652,940,15652,173,1334,97
5998,-4580,972,15664,192,1325,155
6020,-4680,1028,15752,201,1336,131
6042,-4628,984,15636,184,1277,135
6063,-4548,1012,15648,182,1338,121
6086,-4652,1012,15764,192,1363,139
6108,-4624,1044,15564,236,1300,125
6130,-4672,928,15752,185,1329,151
6152,-4648,984,15720,211,1355,125
6174,-4660,1060,15624,217,1351,118
6194,-4636,988,15632,192,1296,143
6215,-4656,1084,15664,180,1333,103
6236,-4644,996,15700,176,1336,127
6260,-4696,976,15720,161,1336,112
6275,-4676,972,15628,190,1333,127
6305,-4632,928,15760,172,1341,139
6319,-4676,988,15784,170,1355,116
6350,-4720,1012,15664,212,1336,106
6372,-4612,956,15692,201,1283,103
6393,-4660,1012,15812,135,1298,113
6416,-4540,988,15732,175,1374,101
6438,-4648,1004,15732,209,1337,98
6460,-4556,1012,15704,190,1298,117
6479,-4564,976,15592,188,1329,121
6504,-4672,1036,15764,207,1357,130
6525,-4688,1008,15684,169,1353,120
6548,-4648,976,15688,176,1349,124
6570,-4608,1068,15732,172,1327,146
6591,-4636,996,15672,212,1378,125
6614,-4580,1012,15668,194,1346,121
6636,-4648,1016,15780,189,1309,125
6658,-4508,960,15724,181,1334,115
6679,-4680,908,15740,156,1352,142
6702,-4672,1052,15688,154,1310,141
6724,-4600,976,15688,192,1339,131
6746,-4584,1020,15644,179,1306,102
6765,-4668,1012,15656,164,1369,107
6790,-4616,984,15700,191,1335,110
6811,-4652,1084,15740,222,1292,147
6834,-4600,1008,15652,201,1358,101
6856,-4672,1012,15720,155,1311,139
6877,-4692,1020,15784,172,1333,131
6899,-4524,1020,15636,195,1338,116
6922,-4640,1012,15688,177,1305,146
6944,-4620,1076,15740,173,1338,141
6966,-4656,1044,15620,190,1329,146
6987,-4628,992,15704,170,1318,115
7009,-4636,1060,15732,188,1333,127
7032,-4580,964,15760,205,1317,119
7047,-4712,916,15688,196,1336,139
7075,-4648,992,15616,182,1338,140
7097,-4608,1000,15648,183,1340,119
7120,-4624,1064,15776,209,1326,137
7142,-4588,960,15672,156,1322,140
7164,-4540,1008,15744,181,1316,116
7185,-4660,1012,15772,181,1343,96
7207,-4656,1016,15692,194,1354,110
7229,-4624,988,15848,198,1319,140
7251,-4580,1008,15716,172,1325,106
7274,-4648,996,15772,199,1352,156
