timestamp,ax,ay,az,gx,gy,gz
5222,-100,16068,3216,228,1362,41
5243,-140,16136,3092,208,1354,66
5266,-120,16052,3140,197,1354,53
5288,-80,16108,3120,186,1364,67
5309,-60,16032,3104,198,1374,64
5331,-92,16116,3144,187,1327,44
5353,-132,16024,3296,220,1339,67
5376,-80,16032,3096,199,1343,37
5397,-148,16100,3288,177,1393,55
5419,-48,16060,3168,214,1358,60
5442,-64,16056,3084,182,1354,58
5462,-164,16124,3164,215,1361,37
5486,-36,16100,3096,186,1361,61
5508,-56,16072,3148,174,1373,66
5530,-88,16068,3124,170,1343,48
5551,-64,16044,3216,182,1359,46
5573,-56,16068,3140,152,1362,63
5595,-88,16044,3072,207,1393,49
5617,-80,16052,3144,189,1336,45
5639,-140,16140,3224,187,1354,36
5662,-120,16112,3164,175,1410,68
5683,-72,16068,3096,173,1360,52
5705,-60,16060,3168,191,1324,60
5728,-136,16060,3188,203,1368,53
5749,-164,16100,3108,176,1345,58
5771,-160,16100,3208,183,1350,81
5793,-112,16052,3188,212,1360,61
5815,-40,16084,3084,198,1365,56
5838,-212,16148,3212,206,1398,56
5860,-108,16080,3184,182,1371,53
5880,-100,16056,3172,223,1353,60
5903,-96,16028,3184,143,1395,39
5925,-128,16072,3104,178,1389,51
5947,-112,16040,3140,216,1379,36
5969,-104,16088,3188,196,1369,47
5991,-156,16036,3112,192,1359,41
6013,-152,16124,3160,178,1354,80
6036,-76,16044,3060,228,1368,53
6057,-56,16072,3164,201,1392,60
6080,-60,16132,3176,205,1388,35
6102,-72,16072,3192,188,1353,99
6124,-124,16100,3116,201,1377,50
6145,-36,16036,3152,216,1370,72
6168,-128,16152,3220,185,1366,40
6189,-116,16016,3116,215,1363,52
6211,-112,16104,3184,192,1371,50
6233,-52,16072,3204,172,1362,41
6256,-76,16120,3204,183,1341,70
6278,-136,16028,3188,186,1350,62
6299,-120,16124,3116,207,1369,79
6321,-148,16084,3164,198,1368,46
6343,-72,16124,3120,190,1381,47
6366,-120,16064,3208,211,1384,87
6387,-72,16024,3176,179,1339,65
6409,-120,16136,3264,170,1348,39
6432,-48,16096,3196,207,1339,70
6453,-104,16148,3180,177,1373,57
6475,-96,16048,3152,154,1364,37
6497,-120,16148,3180,192,1357,53
6520,-92,16080,3152,195,1358,96
6542,-88,16068,3016,182,1346,53
6562,-72,16088,3108,177,1398,40
6585,-60,16060,3116,172,1368,45
6607,-52,16044,3096,178,1371,76
6630,-52,16104,3012,204,1370,74
6651,-64,16056,3152,148,1338,34
6673,-84,16092,3144,173,1360,36
6695,-92,16012,3232,184,1387,59
6717,-96,16084,3168,202,1407,71
6740,-128,16076,3144,179,1344,57
6762,-116,16036,3216,226,1367,56
6783,-92,16020,3124,202,1367,55
6805,-68,16036,3084,211,1399,53
6827,-80,16052,3200,195,1370,41
6850,-128,16092,3196,201,1354,42
6872,-76,16016,3152,196,1377,27
6893,-64,16056,2964,200,1357,38
6915,-56,16060,3208,188,1368,73
6937,-124,16032,3208,188,1376,82
6959,-60,16040,3248,210,1357,48
6981,-72,16064,3156,187,1342,47
7002,-108,16136,3232,200,1345,58
7025,-116,16108,3168,202,1364,68
7047,-80,16060,3208,213,1353,52
7070,-148,16136,3132,181,1356,33
7092,-84,16112,3136,193,1339,51
7113,-96,16096,3100,165,1372,74
7134,-56,16104,3164,218,1359,64
7157,-148,16148,3192,171,1386,75
7180,-76,16076,3172,158,1369,60
7201,-104,16024,3048,205,1353,35
7222,-80,16028,3232,167,1395,52
7246,-156,16092,3172,202,1373,71
7268,-40,16044,3168,182,1379,88
7290,-108,16124,3124,141,1338,90
7310,-52,16116,3168,199,1352,52
7333,-64,16064,3196,193,1408,28
7355,-212,16084,3156,191,1386,37
7378,-88,16080,3200,201,1382,64
7399,-96,16064,3088,155,1343,55
7421,-76,16084,3096,246,1371,55
7444,-52,16084,3104,199,1362,74
7466,-108,16088,3104,184,1318,47
7488,-120,16112,3148,165,1376,69
7509,-32,16044,3140,190,1371,62
7530,-52,16124,3116,207,1359,63
7552,-88,16084,3088,208,1382,58
7576,-64,16152,3152,175,1376,50
7598,-184,16088,3204,174,1346,13
7620,-64,16096,3268,200,1347,50
7642,-80,16056,3168,193,1374,32
7662,-116,16096,3168,232,1344,91
7685,-72,16072,3128,183,1351,42
7706,-88,16064,3172,197,1363,45
7729,-84,16104,3104,205,1359,55
7751,-108,16052,3140,196,1364,62
7773,-124,16104,3148,228,1366,39
7795,-68,16072,3192,190,1353,68
7818,-76,16088,3148,218,1338,61
7840,-108,16040,3148,191,1338,59
7861,-112,16088,3124,173,1358,58
7883,-100,16060,3260,198,1344,39
7906,-40,16176,3128,207,1335,56
7928,-112,16068,3128,181,1336,51
7949,-120,16056,3216,200,1377,52
7972,-140,16112,3164,168,1364,40
7993,4,16040,3104,189,1370,91
8016,-112,16168,3132,166,1384,36
8037,-60,16096,3204,181,1395,38
8059,-116,16072,3116,177,1340,74
